# Copyright (C) 1991-2012 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# Quartus II 64-Bit Version 12.1 Build 177 11/07/2012 SJ Web Edition
# File: C:\Users\revoh\Dropbox (Personal)\My Domain\CPU_VHDL_FPGA_ALTERA  381-1-0107\CPU Course ECE\LABs\Material_3 - MIPS\LAB3 Seminar and Exercises\ex4 - MIPS Architecture (ModelSim & Quartus)\MIPS Quartus\Test.csv
# Generated on: Tue Aug 11 18:17:31 2020

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Differential Pair
ALU_result_out[8],Output,,,,PIN_R13,,,,
ALU_result_out[7],Output,,,,PIN_V11,,,,
ALU_result_out[6],Output,,,,PIN_V21,,,,
ALU_result_out[5],Output,,,,PIN_W11,,,,
ALU_result_out[4],Output,,,,PIN_R12,,,,
ALU_result_out[3],Output,,,,PIN_W14,,,,
ALU_result_out[2],Output,,,,PIN_U14,,,,
ALU_result_out[1],Output,,,,PIN_AA14,,,,
ALU_result_out[0],Output,,,,PIN_E15,,,,
Branch_out,Output,,,,PIN_AA13,,,,
clock,Input,PIN_A12,4,B4_N1,PIN_A12,,,,
Instruction_out[31],Output,,,,PIN_F12,,,,
Instruction_out[30],Output,,,,PIN_H13,,,,
Instruction_out[29],Output,,,,PIN_H2,,,,
Instruction_out[28],Output,,,,PIN_A7,,,,
Instruction_out[27],Output,,,,PIN_J14,,,,
Instruction_out[26],Output,,,,PIN_D15,,,,
Instruction_out[25],Output,,,,PIN_G11,,,,
Instruction_out[24],Output,,,,PIN_B9,,,,
Instruction_out[23],Output,,,,PIN_C14,,,,
Instruction_out[22],Output,,,,PIN_H9,,,,
Instruction_out[21],Output,,,,PIN_E9,,,,
Instruction_out[20],Output,,,,PIN_B10,,,,
Instruction_out[19],Output,,,,PIN_A13,,,,
Instruction_out[18],Output,,,,PIN_A9,,,,
Instruction_out[17],Output,,,,PIN_D11,,,,
Instruction_out[16],Output,,,,PIN_F11,,,,
Instruction_out[15],Output,,,,PIN_C10,,,,
Instruction_out[14],Output,,,,PIN_AB9,,,,
Instruction_out[13],Output,,,,PIN_U9,,,,
Instruction_out[12],Output,,,,PIN_D9,,,,
Instruction_out[11],Output,,,,PIN_AB18,,,,
Instruction_out[10],Output,,,,PIN_Y16,,,,
Instruction_out[9],Output,,,,PIN_W9,,,,
Instruction_out[8],Output,,,,PIN_AA9,,,,
Instruction_out[7],Output,,,,PIN_AA16,,,,
Instruction_out[6],Output,,,,PIN_Y10,,,,
Instruction_out[5],Output,,,,PIN_AB11,,,,
Instruction_out[4],Output,,,,PIN_R16,,,,
Instruction_out[3],Output,,,,PIN_R9,,,,
Instruction_out[2],Output,,,,PIN_AA8,,,,
Instruction_out[1],Output,,,,PIN_W8,,,,
Instruction_out[0],Output,,,,PIN_AA11,,,,
Memwrite_out,Output,,,,PIN_Y14,,,,
PC[9],Output,,,,PIN_P15,,,,
PC[8],Output,,,,PIN_K20,,,,
PC[7],Output,,,,PIN_R22,,,,
PC[6],Output,,,,PIN_K22,,,,
PC[5],Output,,,,PIN_G21,,,,
PC[4],Output,,,,PIN_M19,,,,
PC[3],Output,,,,PIN_M18,,,,
PC[2],Output,,,,PIN_J20,,,,
PC[1],Output,,,,PIN_U3,,,,
PC[0],Output,,,,PIN_AA6,,,,
read_data_1_out[31],Output,,,,PIN_D21,,,,
read_data_1_out[30],Output,,,,PIN_G22,,,,
read_data_1_out[29],Output,,,,PIN_F14,,,,
read_data_1_out[28],Output,,,,PIN_N2,,,,
read_data_1_out[27],Output,,,,PIN_C13,,,,
read_data_1_out[26],Output,,,,PIN_A17,,,,
read_data_1_out[25],Output,,,,PIN_E14,,,,
read_data_1_out[24],Output,,,,PIN_AA17,,,,
read_data_1_out[23],Output,,,,PIN_B13,,,,
read_data_1_out[22],Output,,,,PIN_F10,,,,
read_data_1_out[21],Output,,,,PIN_F15,,,,
read_data_1_out[20],Output,,,,PIN_B16,,,,
read_data_1_out[19],Output,,,,PIN_H10,,,,
read_data_1_out[18],Output,,,,PIN_H8,,,,
read_data_1_out[17],Output,,,,PIN_B11,,,,
read_data_1_out[16],Output,,,,PIN_H11,,,,
read_data_1_out[15],Output,,,,PIN_G12,,,,
read_data_1_out[14],Output,,,,PIN_F22,,,,
read_data_1_out[13],Output,,,,PIN_F13,,,,
read_data_1_out[12],Output,,,,PIN_H15,,,,
read_data_1_out[11],Output,,,,PIN_G20,,,,
read_data_1_out[10],Output,,,,PIN_H19,,,,
read_data_1_out[9],Output,,,,PIN_D14,,,,
read_data_1_out[8],Output,,,,PIN_A10,,,,
read_data_1_out[7],Output,,,,PIN_H17,,,,
read_data_1_out[6],Output,,,,PIN_H14,,,,
read_data_1_out[5],Output,,,,PIN_E11,,,,
read_data_1_out[4],Output,,,,PIN_E22,,,,
read_data_1_out[3],Output,,,,PIN_B15,,,,
read_data_1_out[2],Output,,,,PIN_F8,,,,
read_data_1_out[1],Output,,,,PIN_A15,,,,
read_data_1_out[0],Output,,,,PIN_A16,,,,
read_data_2_out[31],Output,,,,PIN_G15,,,,
read_data_2_out[30],Output,,,,PIN_A11,,,,
read_data_2_out[29],Output,,,,PIN_E20,,,,
read_data_2_out[28],Output,,,,PIN_B7,,,,
read_data_2_out[27],Output,,,,PIN_B17,,,,
read_data_2_out[26],Output,,,,PIN_M6,,,,
read_data_2_out[25],Output,,,,PIN_B8,,,,
read_data_2_out[24],Output,,,,PIN_U22,,,,
read_data_2_out[23],Output,,,,PIN_T11,,,,
read_data_2_out[22],Output,,,,PIN_N6,,,,
read_data_2_out[21],Output,,,,PIN_R10,,,,
read_data_2_out[20],Output,,,,PIN_Y9,,,,
read_data_2_out[19],Output,,,,PIN_L18,,,,
read_data_2_out[18],Output,,,,PIN_J18,,,,
read_data_2_out[17],Output,,,,PIN_C16,,,,
read_data_2_out[16],Output,,,,PIN_C9,,,,
read_data_2_out[15],Output,,,,PIN_E21,,,,
read_data_2_out[14],Output,,,,PIN_F21,,,,
read_data_2_out[13],Output,,,,PIN_A18,,,,
read_data_2_out[12],Output,,,,PIN_J19,,,,
read_data_2_out[11],Output,,,,PIN_G18,,,,
read_data_2_out[10],Output,,,,PIN_G16,,,,
read_data_2_out[9],Output,,,,PIN_U21,,,,
read_data_2_out[8],Output,,,,PIN_P17,,,,
read_data_2_out[7],Output,,,,PIN_R15,,,,
read_data_2_out[6],Output,,,,PIN_AA15,,,,
read_data_2_out[5],Output,,,,PIN_R14,,,,
read_data_2_out[4],Output,,,,PIN_AB15,,,,
read_data_2_out[3],Output,,,,PIN_J21,,,,
read_data_2_out[2],Output,,,,PIN_J22,,,,
read_data_2_out[1],Output,,,,PIN_D22,,,,
read_data_2_out[0],Output,,,,PIN_H18,,,,
Regwrite_out,Output,,,,PIN_H16,,,,
reset,Input,PIN_L22,5,B5_N1,PIN_L22,,,,
write_data_out[31],Output,,,,PIN_AB16,,,,
write_data_out[30],Output,,,,PIN_R18,,,,
write_data_out[29],Output,,,,PIN_AB7,,,,
write_data_out[28],Output,,,,PIN_J17,,,,
write_data_out[27],Output,,,,PIN_N22,,,,
write_data_out[26],Output,,,,PIN_D8,,,,
write_data_out[25],Output,,,,PIN_B14,,,,
write_data_out[24],Output,,,,PIN_Y21,,,,
write_data_out[23],Output,,,,PIN_T2,,,,
write_data_out[22],Output,,,,PIN_H3,,,,
write_data_out[21],Output,,,,PIN_V8,,,,
write_data_out[20],Output,,,,PIN_AB13,,,,
write_data_out[19],Output,,,,PIN_P3,,,,
write_data_out[18],Output,,,,PIN_R19,,,,
write_data_out[17],Output,,,,PIN_AB10,,,,
write_data_out[16],Output,,,,PIN_W7,,,,
write_data_out[15],Output,,,,PIN_AB12,,,,
write_data_out[14],Output,,,,PIN_AA7,,,,
write_data_out[13],Output,,,,PIN_AB14,,,,
write_data_out[12],Output,,,,PIN_Y22,,,,
write_data_out[11],Output,,,,PIN_V9,,,,
write_data_out[10],Output,,,,PIN_V22,,,,
write_data_out[9],Output,,,,PIN_F9,,,,
write_data_out[8],Output,,,,PIN_W22,,,,
write_data_out[7],Output,,,,PIN_E8,,,,
write_data_out[6],Output,,,,PIN_D7,,,,
write_data_out[5],Output,,,,PIN_U13,,,,
write_data_out[4],Output,,,,PIN_J4,,,,
write_data_out[3],Output,,,,PIN_J15,,,,
write_data_out[2],Output,,,,PIN_U10,,,,
write_data_out[1],Output,,,,PIN_AB8,,,,
write_data_out[0],Output,,,,PIN_H12,,,,
Zero_out,Output,,,,PIN_L19,,,,
